"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","132","Parque Anhembi","3/1/2020 - 3/31/2020, Every day, Daily Average",153,66,349
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","133","Alfredo Pujol","3/1/2020 - 3/31/2020, Every day, Daily Average",470,323,683
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","134","Santa Terezinha","3/1/2020 - 3/31/2020, Every day, Daily Average",681,488,949
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","135","Jardim São Paulo","3/1/2020 - 3/31/2020, Every day, Daily Average",645,464,896
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","136","Casa Verde","3/1/2020 - 3/31/2020, Every day, Daily Average",322,215,480
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","137","Parque Peruche","3/1/2020 - 3/31/2020, Every day, Daily Average",725,510,1029
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","138","Limão","3/1/2020 - 3/31/2020, Every day, Daily Average",442,312,626
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","139","Jardim Primavera","3/1/2020 - 3/31/2020, Every day, Daily Average",801,588,1089
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","140","Vila Santa Maria","3/1/2020 - 3/31/2020, Every day, Daily Average",888,637,1236
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","141","Cachoeirinha","3/1/2020 - 3/31/2020, Every day, Daily Average",1334,1026,1734
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","142","Jardim Peri","3/1/2020 - 3/31/2020, Every day, Daily Average",1642,1272,2118
